Course Code,Course Name,Course Description,Hub Units,Prerequisites,Credits,link
COM FT 430,Producing the Short Script," Developing a producible student film begins with a solid short screenplay that  takes all parameters into account.  Students will watch, analyze, and discuss  successful short films while examining screenplay structure, plot, genre, theme,  and character.   Based upon short film analysis, feedback received during workshops, and one-on- one consults with the professor, students will write and revise two short  screenplays (under10 pages & 10-15 pages).  Students will be expected to have a  firm grasp on narrative structure, character development, and cinematic  storytelling.  Final body of work will be two polished scripts that could  potentially be produced either independently or within one of The Department of  Film & Television's advanced production courses (i.e. Prod. II - FT 402 or Prod.  III - FT 468). Pre-req FT310 ",None,None,4,https://www.bu.edu//academics/com/courses/com-ft-430/
COM FT 454,Pitch to Pilot,"First class in a series which will culminate in a collaborative project with CFA to produce a live action sitcom pilot, to be filmed at the Booth theater in Spring 2023. This is a writing class. more information in the FTV newsletter or email filmtv@bu.edu. Pre-req FT 512 or FT 522",None,None,4,https://www.bu.edu//academics/com/courses/com-ft-454/
COM FT 457,American Masterworks,"Subjects vary with the instructor. Directors discussed include D. W. Griffith, Charlie Chaplin, Buster Keaton, King Vidor, Frank Borzage, Victor Fleming, Howard Hawks, Frank Capra, Alfred Hitchcock, John Ford, John Huston, Elia Kazan, George Cukor, Orson Welles, Robert Altman, John Cassavetes, and Woody Allen. ",None,None,4,https://www.bu.edu//academics/com/courses/com-ft-457/
COM FT 458,International Masterworks,"An eclectic and unsystematic survey of a small number of the supreme  masterworks of international film created by some of the greatest artists of  the past eighty years. The focus in on cinematic style. What does style do?  Why are certain cinematic presentations highly stylized? What is the  difference from realistic, representational work? We will consider the  special ways of knowing, thinking, and feeling that highly stylized works of  art create and devote all of our attention to the function of artistic style  and form to create new experiences and ways of thinking and feeling.",None,None,4,https://www.bu.edu//academics/com/courses/com-ft-458/
COM FT 468,Production III,"This is an honors thesis class for undergraduates who have taken Production  II as well as other high-level production classes, such as Directing,  Cinematography, Sound Design, Motion Picture Editing, etc. Students apply to  the class as either as producers, directors, cinematographers, editors,  sound designers and production designers. Directors submit scripts for  consideration. The production faculty then selects eight directors, based on  the scripts and each candidate's previous work. Faculty then selects the  producers, cinematographers, editors, sound designers, and production  designers based on their previous production work and their ability to work  as members of a team. The class forms production teams to make eight thesis- quality films that can compete with the best student films in America.  Maximum running time for each film is fifteen minutes.",None,COM FT 402; application required,4,https://www.bu.edu//academics/com/courses/com-ft-468/
COM FT 491,Directed Studies,Individual projects; opportunity for advanced students who have completed a major portion of their degree requirements to engage in-depth tutorial study with specific faculty in an area not normally covered by regular curriculum offerings. ,None,consent of supervising faculty and department chair,Var,https://www.bu.edu//academics/com/courses/com-ft-491/
COM FT 492,Directed Studies,Individual projects; opportunity for advanced students who have completed a major portion of their degree requirements to engage in-depth tutorial study with specific faculty in an area not normally covered by regular curriculum offerings. ,None,consent of supervising faculty and department chair,Var,https://www.bu.edu//academics/com/courses/com-ft-492/
COM FT 493,Internship,"Opportunity for students to gain professional experience at television and radio stations, film and video production houses, and other media institutions. Responsibilities vary. Availability depends on market needs. ",None,"junior standing, a 3.0 GPA for COM courses, completion of COM FT 201 & COM FT 310. This includes Film/TV internships through abroad programs",Var,https://www.bu.edu//academics/com/courses/com-ft-493/
COM FT 494,Internship,"Opportunity for students to gain professional experience at television and radio stations, film and video production houses, and other media institutions. Responsibilities vary. Availability depends on market needs. ",None,"junior standing, a 3.0 GPA for COM courses, completion of COM FT 201 & COM FT 310. This includes Film/TV internships through abroad programs",Var,https://www.bu.edu//academics/com/courses/com-ft-494/
COM FT 500,Writing Film Criticism,"This course examines the art of film and television criticism and gives   students extensive practice in writing about film and TV in a way that   balances informed, insightful analysis and lively writing. Students write   several film and TV reviews, each covering a different type of film or TV   show, as well as a longer think piece. Students will review films currently   playing in local theaters and TV shows currently available on broadcast,  cable  or other internet platforms, such as Netflix, Hulu, Amazon and the  like. Key  critics discussed include James Agee, Andrew Sarris, Pauline Kael,  Roger  Ebert, Emily Nussbaum, Matt Zoller Seitz, Anthony Lane, Manohla Dargis  and  A.O. Scott.  Effective Fall 2020, this course fulfills a single unit in each of  the following BU Hub areas: Aesthetic Exploration, Critical Thinking.", Aesthetic Exploration Critical Thinking,None,4,https://www.bu.edu//academics/com/courses/com-ft-500/
COM FT 502,Sound Design for Film and Television,"A comprehensive technical examination of the role of sound as an emotional motivator and major storytelling component in both fiction and nonfiction films. Covers location sound recording, acoustic theory, track building, foley and dialog replacement, and mix preparation, as well as music editing and composition. Introduces a variety of postproduction pathways and technologies, including current digital innovations in the field and in audio postproduction, and provides an ongoing workshop for solving editing and track building problems. ",None,COM FT 353.,4,https://www.bu.edu//academics/com/courses/com-ft-502/
COM FT 504,Post production FX Editing,"This course teaches all aspects of video post production including window dubbing, rough cuts, A/B editing, non-linear editing, digital graphics, digital sound, and the integration of all of these processes and technologies that apply to the postproduction completion of video projects. Familiarity with Macintosh computers is desirable. Experience with video timecode editing is a necessity. ",None,COM FT 353.,4,https://www.bu.edu//academics/com/courses/com-ft-504/
COM FT 505,Real World Productions,"Undergraduate Prerequisites: COM FT 353; a 3.0 COM GPA Graduate Prerequisites:  COM FT 707; a 3.2 COM GPA This is a class that operates as a student-run, client- driven production  company. Projects include PSA's and web videos for local,  national, and  international non- profits. GPA of 3.0 or higher. 4 credits only.  Application only.",None,COM FT 353; a 3.0 COM GPA,4,https://www.bu.edu//academics/com/courses/com-ft-505/
COM FT 507,Television Studio Production,"Course presents the requisite strategies, processes, technology, and skills  training to successfully create live multi-camera productions.  Emphasizes the  roles and responsibilities of the director and producer. Intended outcome is  for students to demonstrate proficiency in the academic, practical, and  professional components established for the course. 4 cr, either sem. ",None,COM FT 201; COM FT 201 or Instructor Consent,4,https://www.bu.edu//academics/com/courses/com-ft-507/
COM FT 508,Line Producing for Undergrads,"Any film- even a very short one- requires the making of thousands of decisions.   How long do we shoot? How many mouths do we feed?  How much will the props cost?   This course offers systems for arriving at intelligent answers to these myriad  questions.  In covering logistics of getting a media production made, the course  addressed how to catalog all the practical considerations that go into a  production, how to schedule a shoot, how to budget a production and how to plan  for distribution of the final product.  ",None,FT353,4,https://www.bu.edu//academics/com/courses/com-ft-508/
COM FT 509,Broadcasting Horror,,None,None,4,https://www.bu.edu//academics/com/courses/com-ft-509/
COM FT 512,Writing Episodic Drama for Television,"Deals with the process and techniques of writing a dramatic series for  commercial network and cable television.  Students will select a current  prime-time drama, develop A, B, and (possibly) C stories for an episode, and  complete a Writer's Draft and polished First Draft, suitable for a Writer  Portfolio.  Lectures will include the life of a working television writer,  one-hour story, structure, genres, and character development.  We will view  and analyze TV series from the past and present, and focus on proper drama  script format, character development and voice.  ",None,COM FT 310.,4,https://www.bu.edu//academics/com/courses/com-ft-512/
COM FT 513,Global Queer Cinema,,None,None,4,https://www.bu.edu//academics/com/courses/com-ft-513/
COM FT 514,Writing the Television Pilot,"Prereq FT 512 or FT 522. ""Writing the TV Drama (or dramedy) Pilot,"" explores the creation and development of your very own ""one-hour"" Television Series Pilot. Each student will pitch a concept, write a treatment, outline and pilot script. Also, you'll create a ""leave behind"" document, which will consist of an overview of your series, complete  with character descriptions, future episode ideas and much more. We will closely examine the ingredients of a pilot script through lectures, script analyses of successful pilots, written assignments and group workshops.",None,COM FT 512 or COM FT 522.,4,https://www.bu.edu//academics/com/courses/com-ft-514/
COM FT 516,Writing The Sitcom Pilot,"Prereq FT 522 or FT512.  Got a funny idea for a show? Let's see if it has legs. In ""Writing the Comedy Pilot,"" students will develop an original concept for their own half-hour, TV comedy series. This includes pitching their idea, writing a beat sheet, an outline and the pilot script. We will also create a ""leave behind"" pitching document that will include an overview of your series, character bios, loglines for future episodes and much more. We'll screen pilot episodes, read produced pilot scripts and see why some worked and some didn't. Then we'll do some other things. ",None,COM FT 512 or COM FT 522.,4,https://www.bu.edu//academics/com/courses/com-ft-516/
COM FT 518,Media Money Trail,"This course examines the critical financial and strategic challenges that businesses face whether they are in start-up, expansion, or exit mode. Students will use case studies to delve into the lives of the founders and CEOs of some of the world's most innovative and enduring brands and industry game-changers. We'll delve into each company's business model(s) and learn why some evolve to become industry gold standards while others fail. ",None,COM FT 517.,4,https://www.bu.edu//academics/com/courses/com-ft-518/
COM FT 519,Storyboarding,"Storyboards are essentially ʻdirecting on paper.ʼ They are the blueprint for live action or animation projects. This fun yet in-depth course teaches the fundamental skills needed to create dynamic storyboards and animatics (moving storyboards), skills that are crucial for filmmakers 2D & 3D animators and motion graphic designers. Storyboard Artists must think like a director, cinematographer storyteller and artist, yet you donʼt need to be any of those to take this course. Through progressive lessons youʼll learn visual storytelling, scene composition, timing, and transitions, camera angles, and cinema-graphic language. We cover basic drawing with Adobe Animate CC, color, perspective, character design, acting, and action poses. Youʼll complete numerous projects for your portfolio and demo reel.",None,COM FT 353.,4,https://www.bu.edu//academics/com/courses/com-ft-519/
COM FT 520,Television Studies,"As an omnipresent site of entertainment and information, ""reality"" and  fantasy,  ""quality"" and ""trash,"" and commerce and the public interest,  television  requires an active, critical analysis of its texts, uses, and  production of  meaning. Students in this class will engage in such analysis,  confronting  television as a rich and contradictory site of entertainment,  culture,  politics, ideology, and signs. This discussion driven seminar sets  aside  evaluative considerations of TV in favor of theoretical and critical  approaches  that challenge widespread assumptions about the medium and expand  our  understanding of its role in our lives. These approaches, which  constitute some  of the dominant frameworks in Television Studies, include  analyses of culture,  industry, narrative, genre, images and sounds,  liveness, and the television  schedule.  This course fulfills the additional  TV Studies course requirement.  Pre-req: FT303.",None,COM FT 303.,4,https://www.bu.edu//academics/com/courses/com-ft-520/
COM FT 521,Promoting Your Content Online,"The course teaches students how to market their creative content online. Students will learn how to identify targeted marketing and distribution platforms for new websites, pilots, video channels and series, blogs, etc. and how to use social media to find an audience, generate buzz and identify potential funding sources. Students will also learn practical entrepreneurial tools needed to organize their creative work as a business venture.",None,None,4,https://www.bu.edu//academics/com/courses/com-ft-521/
COM FT 522,Writing Television Situation Comedy Scripts,"Intense writing workshop learning how to write professional sitcom scripts.  Elements of character, dramatic story structure, how comedy is created, how  scenes build and progress a story, formal story outlines, dialogue, the business  of sitcom writing, pitching, arc, comedic premise are analyzed. The class  becomes a sitcom writing team for a current hit series and writes an original  class spec script to understand the process of group writing employed on most  sitcoms. Also, students write their own personal spec scripts with individual  conferences with the professor.",None,COM FT 310.,4,https://www.bu.edu//academics/com/courses/com-ft-522/
COM FT 523,American Cinema to 1960,"This course offers a survey of American film history from the beginnings to  1960. The course is intended to help students familiarize themselves with key  works of American film history from the beginnings to 1960. As it is impossible  to cover this period comprehensively, the course represents a selection of major  topics and artists that is supposed to provide students with a basic framework  for future studies in American film. *Undergrad pre-req: FT250",None,None,4,https://www.bu.edu//academics/com/courses/com-ft-523/
COM FT 524,International Cinema,"This course exposes students to a wide range of narrative, stylistic, and  representational approaches in the film medium across the globe. Its broad,  transnational, and transhistorical scope invites explorations of films and  filmmakers seldom studied in traditional film history and offers students an  opportunity to deepen their knowledge of the many levels on which film creation  and film reception operate. This course is designed to help emerging filmmakers  locate their own craft and creative impulses among historical and stylistic  cinematic traditions and to guide emerging film scholars to challenge gaps and  silences produced in traditional film history. As such, it encourages students  to contemplate their own responsibilities as storytellers, directors, producers,  critics, and scholars of cinema. The course material aims to raise the question  of what can be gained and learned from appreciating, analyzing, and discussing a  diverse group of films from distinct cultures and time periods and to  destabilize traditional canons of World Cinema. *Undergrad pre-req: FT250",None,None,4,https://www.bu.edu//academics/com/courses/com-ft-524/
COM FT 526,Directing,"Students learn all aspects of directing, with particular emphasis given to  script analysis and working with actors.  The director's involvement in  blocking action, composing shots, managing the production process and editing  are also covered.  Acting experience is helpful but not required.",None,COM FT 353.,4,https://www.bu.edu//academics/com/courses/com-ft-526/
COM FT 527,Crowdfunding and Distribution,"Whether you're producing web series, long or short format fiction, documentaries  or video games, media makers are expected to build and develop their own audience,  as well as raise the funds necessary to produce and get their work out in the  world. In other words, a media maker must be more than just a creator. To be truly  successful, you must also become a creative entrepreneur.",None,FT201,4,https://www.bu.edu//academics/com/courses/com-ft-527/
COM FT 532,NBC: Anatomy of a Network,"Undergraduate Pre-req FT 303 NBC has the distinction of being the first national network on the air, and  at various points in its history it has stood for corporate stodginess,  quality programming, enviable target audiences, and abject failure.  In this  course students will analyze the different stages of TV's development by  using NBC as a case study, approaching the network's history from various  vantage points, including those of the larger industry, network executives,  and early audiences.  Driven by primary sources (NBC's back-office  documents, industry trade articles, and NBC's radio and television programs)  and scholarly literature, this course will explore the ways ""America's  network"" has navigated the transition from radio to TV, monopolistic trends,  inter-network competition, programming decisions, conglomeration, and  competition with cable and the Internet.  ",None,COM FT 303.,4,https://www.bu.edu//academics/com/courses/com-ft-532/
COM FT 534,Critical TV Industry Studies,"Whether you want to work in the television industry or focus your research  on it, your connection to it will be incomplete without a critical  interrogation of its history and processes.  Tv industry studies is a  scholarly reading and discussion-driven seminar that conceptualizes the u.s.  television industry as a complex site of negotiation between producers and  audiences, labor and management, creativity and commerce, and government and  corporations.  Whereas other television studies courses might privilege the  intricacies at work within specific programs or genres, this class asks  students to locate those programs within the broader context of a capitalist  media system. ",None,COM FT 303.,4,https://www.bu.edu//academics/com/courses/com-ft-534/
COM FT 536,Film Theory and Criticism,"An introduction to classical and contemporary film and media theory.  Topics include montage theory, realism, structuralism, post-structuralism, semiotics, psychoanalysis, phenomenology, and cultural studies.  The course includes screenings of films that have contributed to critical debate and those that challenge theoretical presuppositions.",None,Undergraduate pre-req: FT250,4,https://www.bu.edu//academics/com/courses/com-ft-536/
COM FT 538,City in Film,,None,None,4,https://www.bu.edu//academics/com/courses/com-ft-538/
COM FT 541,TV Genres,"This class uses fan studies and genre studies approaches to critically analyze the ways that fan practices have shaped and been shaped by the television industry as well as how fans have used their position to influence the norms of television. We will focus on genres with extremely active and integral fandoms and how they are similar or distinct: science fiction/fantasy, melodrama/soap operas, and sports.      ",None,COM FT 303.,4,https://www.bu.edu//academics/com/courses/com-ft-541/
COM FT 542,Advanced Screenwriting,"The student will write a first-draft screenplay and two sets of revisions. In  addition to participating in weekly discussions on aspects of screenwriting  that are tailored to student needs, each student will complete and revise a  full length motion-picture screenplay.  4cr.  ",None,COM FT 412.,4,https://www.bu.edu//academics/com/courses/com-ft-542/
COM FT 544,Documentary Production,"This course is designed to develop skills necessary for producing long-form  documentaries. There is an emphasis on exploring new, more engaging forms of  storytelling and a broad range of stylistic approaches.  It covers the entire  process: finding a topic, developing a story structure, conceiving a style,  shooting, editing, and post-production.  Students develop their own ideas and  form small groups to produce them. ",None,COM FT 353.,4,https://www.bu.edu//academics/com/courses/com-ft-544/
COM FT 545,Television and Childhood,"Children represent an important target for mediated messages. However, there are important rules, ethics and differences we should keep in mind when creating content for this audience. In this class, we will consider the effects messages have on behavior and development in younger populations. We will also consider design and programming decisions that influence these effects. ",None,None,4,https://www.bu.edu//academics/com/courses/com-ft-545/
COM FT 547,Avant Garde Cinema,"A survey of global avant-garde film and experimental media from the 1920s to the present. We will explore film, video, and digital video as mediums of unadulterated artistic expression resulting in daring, experimental forms and controversial contents. The course covers 1920s and early 30s high modernist cinema of ""isms"" (Dadaism, Surrealism, Impressionism), Transatlantic and international currents after World War Two including trance film, underground film, structuralism, and ""psychedelic expanded cinema of split and multiscreen films  (Kenneth Anger, Andy Warhol, Michael Snow, Peter Kubelka, Rudy Burckhardt), 1970s video art including feminist and gay/lesbian filmmakers, X-rated Europeans (Kren and the Vienna Secessionists) and international ""trash"" cinema auteurs, the digital video avant-garde, masters of found footage cinema, queer digital media, recent transnational trends. Disclaimer: Some of the films shown in this course contain sexually explicit and graphic bodily acts.",None,COM FT 250.,4,https://www.bu.edu//academics/com/courses/com-ft-547/
COM FT 552,Special Topics,Special Topics for Fall 2022. Course descriptions and more info sent out in the  FTV newsletter. Email filmtv@bu.edu for more info. | FT 552 A1: Writing the  Producible Short (Thompson) Pre-req | FT 310 FT 552 B1: Crowdfunding &  Distribution (Geller) Pre-req FT 201. Students encouraged to come in with a  script or concept that is already in production | FT 552 C1: Social Purpose Short  (Zelnick/Egleson) Application only course | FT 552 B1: Late Nite Laughs pre-req  FT 512 or FT 522,None,None,4,https://www.bu.edu//academics/com/courses/com-ft-552/
COM FT 553,Film Analytics,"Navigating the line between artistry and analytics takes training and experience. In this course, we are going talk about different roles quantitative research plays in film and television. The knowledge and skills practiced throughout the course will enable you to better understand audiences' characteristics, behaviors, and responses. Furthermore, they will empower you to be able to decide what research (if any) should be trusted. You will learn how to assess the quality of research and conclusions, consider your own research, and analyze and interpret conclusions from existing data.",None,.,4,https://www.bu.edu//academics/com/courses/com-ft-553/
COM FT 554,Special Topics,Full course descriptions and addt'l information on Spring 22 Special Topics in       Studies in FTV newsletter. Email filmtv@bu.edu for more information. | FT 554 A1       International Seminar (Youth and Childhood in World Cinema) (Guarana)--fulfills       foreign cinema requirement. Pre-req FT 250. | FT 554 B1 Gangster Film (Hall) |       FT 554 C1 (Burr) Stardom | FT 554 D1 True Crime (Jaramillo) fulfills TV studies       requirement. pre-req FT 303 | FT 554 E1 The Musical (Roy Grundmann). ,None,None,4,https://www.bu.edu//academics/com/courses/com-ft-554/
COM FT 555,The Narrative Documentary Practicum,"This practicum, designed for advanced film and television production  students, focuses on the highly specialized filmmaking techniques used for  the narrative documentary; that is, character-driven films about real  people. The course also explores this tradition's rich legacy: from the  Russians of the 1920s, through the CV movement of the 1960s, and on to the  present day host of new films spawned by digital filmmaking  technology.Course Prerequisites:  FT 402  B+ or Better.   Or by permission  of Instructor.   ",None,FT 402  B+ or Better.   Or by permission of Instructor,4,https://www.bu.edu//academics/com/courses/com-ft-555/
COM FT 556,American Independent Film-Part 1 The Foundational Masterworks,"The course comprises one unit of a four-semester survey (each part of which is free-standing and may be taken separately and independently of each other and in any order, with no prerequisites) of the major achievements of the most important artistic movement of the last sixty years in American film--the independent feature filmmaking movement, in which American narrative filmmakers broke away from the financial, bureaucratic, and (most importantly) imaginative influence of Hollywood values and entertainment story-telling methods to create the most important works in American film--a series of generally low-tech, low-budget, DIY, personal-expression films, made and distributed more or less outside the mainstream exhibition system. This section of the survey focuses on the foundational masterworks created by the first generation of American independent feature filmmakers. These are the works that not only changed film history at the point they were made but that continue to inspire generations of independent filmmakers with their example. Since women have made some of the best and most important works in this area, as many female filmmakers as possible are being included. Offered in the fall of odd numbered years. The course comprises one unit of a four-semester survey (each part of which is free-standing and may be taken separately and independently of each other and in any order, with no prerequisites) of the major achievements of the most important artistic movement of the last sixty years in American film--the independent feature filmmaking movement, in which American narrative filmmakers broke away from the financial, bureaucratic, and (most importantly) imaginative influence of Hollywood values and entertainment story-telling methods to create the most important works in American film--a series of generally low-tech, low-budget, DIY, personal-expression films, made and distributed more or less outside the mainstream exhibition system. This section of the survey focuses on the foundational masterworks created by the first generation of American independent feature filmmakers. These are the works that not only changed film history at the point they were made but that continue to inspire generations of independent filmmakers with their example. Since women have made some of the best and most important works in this area, as many female filmmakers as possible are being included. Offered in the fall of odd numbered years. ",None,None,4,https://www.bu.edu//academics/com/courses/com-ft-556/
COM FT 557,American Independent Film-Part 2 The Second Generation,"The course comprises one unit of a four-semester survey (each part of which is free-standing and may be taken separately and independently of each other and in any order, with no prerequisites) of the major achievements of the most important artistic movement of the last sixty years in American film--the independent feature filmmaking movement, in which American narrative filmmakers broke away from the financial, bureaucratic, and (most importantly) imaginative influence of Hollywood values and entertainment story-telling methods to create the most important works in American film--a series of generally low-tech, low-budget, DIY, personal-expression films, made and distributed more or less outside the mainstream exhibition system. This section of the survey focuses on the second generation of American independent feature filmmaking. Since women have made some of the best and most important works in this area, as many female filmmakers as possible are being included. Offered in the spring of even numbered years. ",None,consent of instructor.,4,https://www.bu.edu//academics/com/courses/com-ft-557/
COM FT 561,Contemporary East Asian Cinema," Surveys important and influential films from India, Japan, mainland China, Hong  Kong, Taiwan, and elsewhere in East Asia from the 1950s to the present, taking  in the work of such directors as Satyajit Ray, Ozu, Mizoguchi, Kurosawa, Zhang  Yimou, Tsai Ming-liang, and Wong Kar-wai. The course is designed to make  students familiar with foundational styles of realism and fantasy in Asian film  and with ways Asian films address changes and evolution in Asian culture and  society. The course should help students understand certain traditions in Asian  film, and prepare them to engage critically with the burgeoning, new and  compelling filmmaking that comes from this part of the world.",None,None,4,https://www.bu.edu//academics/com/courses/com-ft-561/
COM FT 565,Motion Picture Editing,"Given its central role in the filmmaking process, examining the way films are edited can reveal a lot about the inner workings of film and help students understand the art of filmmaking. Editing scenes from films, television shows, and other material in a classroom setting and then examining different versions of those scenes can help students become better editors and will help them evaluate/critique their future film and television work. The course is designed for students who have edited a number of exercises and films in previous classes. It provides an opportunity for students to develop advanced editing skills, while learning advanced digital editing techniques on the Adobe Premier. This is an advanced editing class, and not a course on how to use Premier. By editing scenes from episodic television shows, and other professionally shot footage, students will learn how to select (and reject) material, where and when to cut, how to create pace, how to control what the audience sees and does not see, how to add music and effects to increase the emotional content, and how to use visual effects to enhance the impact of the material.  ",None,FT353,4,https://www.bu.edu//academics/com/courses/com-ft-565/
COM FT 570,Uncensored TV: The rise of Original Scripted Series on Cable TV,"Using series like The Sopranos, Weeds, and Breaking Bad as case studies, this  course will examine the current state of cable TV with regard to industry,  ""quality,"" genres, auteurs, and the so-called ""post-network"" era.  Students will  approach these cable series with a critical eye as they work to connect  industry, political economy, and government regulation to issues of social  class, television hierarchies, and artistry.  Students will also emerge from the  course with a thorough understanding of how to perform television-focused  research and analysis.   ",None,COM FT 303.,4,https://www.bu.edu//academics/com/courses/com-ft-570/
COM FT 571,Religion and TV,"Religion and Television critically engages with religious representation on  television, focusing especially on American fictional television since the  1980s. The course examines both the representation of specific religious  traditions as well as generalized and abstracted religion and spirituality.  Using the framework of television studies in conversation with religious  studies, Religion and Television analyzes religion as: a tradition, as a  grouping of tropes and stories, a functional part of lived experience, a  component of identity, a structure of sociocultural power, and a discourse with  specific cultural assumptions attached to it. These televisual articulations of  religion are shaped by television's history, ideology, industry, culture, and  reception. Thus, this course critically analyzes and maps the relationships  among television, religion, and American culture.",None,COM FT 303.,4,https://www.bu.edu//academics/com/courses/com-ft-571/
