courseCode,courseName,hub(s),prereqs,credit
COM CM 721,Advertising Management,None,COM CM 708.,4
COM CM 722,Communication Research,None,None,4
COM CM 723,Advanced Communication Research,None,COM CM 722.,4
COM CM 724,Sampling Design and Measurement Techniques,None,Consent of Instructor,4
COM CM 726,Strategic Brand Solutions,None,COM CM 708.,4
COM CM 730,Marketing Communication,None,None,4
COM CM 739,Social Media Strategy,None,COM CM 722.,4
COM CM 742,Strategic Media Relations and Management,None,CM701 AND CM707 OR CM703,4
COM CM 743,New Media & Public Relations,None,COM CM 701.,4
COM CM 750,Advanced Writing for Media Professionals,None,CM703 or CM707,4
COM CM 753,Portfolio Development I,None,COM CM 708 and COM CM 717.,4
COM CM 754,Portfolio Development II,None,COM CM 708 ; COM CM 717 ; COM CM 753.,4
COM CM 809,Graduate Internship,None,one  semesters of graduate study.,Var
COM CM 824,Technical Writing for Communication Research,None,COM CM 722 ; COM CM 723 ; COM CM 724.,4
COM CM 831,International Communication,None,None,4
COM CM 901,Directed Studies,None,"Consent of advisor and instructor. Supervised reading, fieldwork, or research for student's specific needs.",Var
COM CM 909,Thesis or Project Research,None,consent of instructor,4
